designation,split,y,w,aov_F,amp_snr,max_phase_gap,n_cycles_observed,n_points,loo_worst_chi2,power_ratio,fap,n_visits,n_sectors,baseline_hr,n_outliers_rejected,frac_points_stacked,phase_angle_range_deg,median_n_stack,pk_over_med,pk_prom,pk_snr
(37951) 1998 HE42,lcdb,1,0.2,1.6843387914566097,2.551791228429009,0.0560779796962587,41.12194097124042,72.0,,1.0,0.1708642720608255,2,2,688.9661450001877,0,1.0,6.11562686097033,11.0,9.786171758070529,1.5031681554139575,8.716526502208499
(37956) 1998 HO53,lcdb,0,0.4,1.4657283157000305,1.3648633899725875,0.0573599136300981,144.7304277963763,114.0,2.3763058770709704,1.0,0.9556519611024892,4,1,584.5561728617758,2,1.0,1.6397466573775643,14.0,8.417690695744673,1.4195476038222272,7.254389966621462
(37959) 1998 HM62,lcdb,1,0.2,1.9966991724463048,2.561003457217446,0.0785047992407178,69.40986120374468,130.0,,1.0,0.3158387149857257,2,1,433.8817637554602,3,1.0,6.651654520415514,4.0,10.722649414910848,1.8486962809695255,9.267896777059253
(37976) 1998 HC118,lcdb,1,0.6,67.46735582356692,2.8778289920045808,0.0015322876950533,809.9837015274697,3540.0,1.8793243407325584,1.0,0.0,14,4,11094.805701905743,22,0.2709152161706906,18.71057202947913,1.0,892.3748413060094,28.76258351727194,837.3726765854625
(37978) 1998 HR124,lcdb,1,0.2,8.342781625286387,1.8143219882160024,0.0130206799481491,39.84903191334825,702.0,2.4522291211130964,1.0,5.8361624558845925e-25,5,1,589.5778700546944,3,0.2212765957446808,3.496609311644378,1.0,76.53082886312758,4.314089889772367,68.64595674139473
(37985) 1998 HF144,lcdb,0,0.6,41.681266448384974,4.0576882716153095,0.04527447098669,4.743624117516545,723.0,3.6849303592091416,1.0,2.1156983071401103e-104,5,1,577.4033301663003,0,0.9986168741355465,9.444375801925943,2.0,401.7736533115985,8.133240920011533,363.79811734927046
(37997) 1998 KW30,lcdb,0,0.4,3.134552983923321,1.4655495135512897,0.0350413730854033,248.85066952519728,108.0,0.9404925477974784,1.0,0.3199328346232559,10,3,1521.5485184193822,1,1.0,4.061379493312794,18.0,10.81901388861444,1.782867306321026,9.596196229564924
(38000) 1998 KK35,lcdb,1,0.6,297.1332664533102,4.915593650419616,0.002511632516764,2307.5593316037407,2907.0,4.030511590451676,1.0,0.0,12,4,10349.22094461968,19,0.2026657552973342,14.538867388591632,1.0,2068.307671687669,42.59282882963834,1889.569180738201
(38001) 1998 KM37,lcdb,1,0.2,2.473429220280587,1.9871908846680468,0.0299947333014728,424.37615207951694,200.0,2.9752094428893137,1.0,0.0429344967724242,6,2,861.8826914698002,4,1.0,11.27961575947537,8.0,15.50831792320157,2.1933731829923304,14.089688965030948
(38012) 1998 KE54,lcdb,0,1.0,3.7973078220826566,1.302827495515365,0.0224284260948873,24.332490365947088,248.0,1.227819178377631,1.0,0.0388351331585407,7,3,1808.2482509837137,5,1.0,8.985241605869012,6.0,17.06196225512019,2.530795262711386,15.816828294357483
