Number,Name,published_rot_per_hr,U,U_clean,Albedo,period_updated,period_source,period_hr,harmonic_n,harmonic_offset,designation,aov_F,n_points,reliability_score,is_reliable,n_phase_coverings,theta_ours,theta_lcdb,theta_lcdb_harm,null_p5,ours_det,lcdb_det,lcdb_harm_det,vetted,bin,period_hr_naive,justified,ratio
182481,2001 SG136,1.02,-,,0.057,73.74273374483417,TESS_replaces_wrong_LCDB,73.74273374483417,,35.14839889452655,(182481) 2001 SG136,3.680056503073233,271.0,0.6483648223543573,True,2.0,0.9055147622441648,1.0337893627233623,0.983694620217279,0.9250359674699712,True,False,False,False,"(3.0, 6.0]",36.87136687241709,False,72.2967977890531
75716,2000 AS120,24.0226,2,2.0,0.2,86.77889402954447,TESS_replaces_wrong_LCDB,86.77889402954447,,0.8061927940677627,(75716) 2000 AS120,3.3011207791990067,406.0,0.0079552473991021,False,3.0,0.921846718891498,0.9925281209502436,0.9839180680125048,0.953861988730392,True,False,False,False,"(3.0, 6.0]",43.38944701477224,False,3.6123855881355253
4853,Marielukac,7.946,3-,3.0,0.2,158.38285208086774,TESS_replaces_wrong_LCDB,158.38285208086774,,8.966200105768168,(4853) Marielukac,5.914876463029613,3681.0,0.0098236410956485,False,2.0,0.9670019535894668,0.9948901393713228,0.9907413308563056,0.97805786152874,True,False,False,False,"(3.0, 6.0]",158.38285208086774,False,19.932400211536336
50970,2000 GT87,2.9333,3-,3.0,0.3,39.822474521189655,TESS_replaces_wrong_LCDB,39.822474521189655,,5.787998929736075,(50970) 2000 GT87,3.729476062270663,574.0,0.1693824992743369,False,3.0,0.9304330261937002,1.025618192693751,1.0202231105686497,0.9482033459844624,True,False,False,False,"(3.0, 6.0]",19.911237260594827,False,13.57599785947215
5258,1989 AU1,19.85,2+,2.0,0.06,119.0252787187352,TESS_replaces_wrong_LCDB,119.0252787187352,,1.9981178518573093,(5258) Rhoeo,11.444433018690049,2098.0,0.2258880359155628,False,1.0,0.9106715681137284,0.982120161341199,0.9726780003988874,0.9400388289831236,True,False,False,False,"(6.0, 15.0]",59.5126393593676,False,5.996235703714619
31599,Chloesherry,17.9163,2,2.0,0.2,2.321066289331701,TESS_replaces_wrong_LCDB,2.321066289331701,,0.7408989256340092,(31599) Chloesherry,10.55225172825221,2101.0,0.8687052194900607,True,96.0,0.9443796183691946,0.9944700200529294,0.9895690081826874,0.9741244516818616,True,False,False,False,"(6.0, 15.0]",1.1605331446658504,True,0.12955053718299542
25087,Kaztaniguchi,2.02,-,,0.1,126.33231675459488,TESS_replaces_wrong_LCDB,126.33231675459488,,30.270375434305663,(25087) Kaztaniguchi,6.363225674958149,436.0,0.7496442337198451,True,1.0,0.8479918166893143,1.0331544666911636,0.9676403969989124,0.9441691831850296,True,False,False,False,"(6.0, 15.0]",63.16615837729744,False,62.540750868611326
11903,1991 RD7,30.9627,2,2.0,0.2,2.693000846426611,TESS_replaces_wrong_LCDB,2.693000846426611,,0.8260487072234262,(11903) 1991 RD7,6.197215893089214,984.0,0.961211379019511,True,4.0,0.9160938990073106,0.9767398220573156,0.9820765536482472,0.953936131599904,True,False,False,False,"(6.0, 15.0]",1.3465004232133055,True,0.0869756463882869
42756,1998 SA63,1.5,-,,0.057,8.43702742344167,TESS_replaces_wrong_LCDB,8.43702742344167,,1.8123424744805567,(42756) 1998 SA63,14.225416777578022,805.0,0.9908362939841812,True,4.0,0.861821151718457,1.0046675337360649,0.9918104109140587,0.9465083795178032,True,False,False,False,"(6.0, 15.0]",4.218513711720835,True,5.6246849489611135
73696,1991 RQ19,2.492,1,1.0,0.2,32.35672735615588,TESS_replaces_wrong_LCDB,32.35672735615588,,5.492120256050538,(73696) 1991 RQ19,7.829626616094778,475.0,0.7507859436444569,True,2.0,0.7870178197967013,1.0063507256350068,0.9746570168905452,0.8521491986512257,True,False,False,False,"(6.0, 15.0]",16.17836367807794,False,12.984240512101076
34565,2000 SY292,16.555,2,2.0,0.19,161.07824188892283,TESS_replaces_wrong_LCDB,161.07824188892283,,3.8649423705503727,(34565) 2000 SY292,14.229314460420872,495.0,0.3377655562582938,False,3.0,0.6525558472050036,0.9939391833286184,0.9947395053916618,0.8011109264279579,True,False,False,False,"(6.0, 15.0]",161.07824188892283,False,9.729884741100745
