designation,n_points,n_points_before_rejection,n_outliers_rejected,n_visits,n_sectors,magnitude_H,period_hr,period_hr_naive,ls_power,naive_power,power_ratio,pk_over_med,pk_prom,pk_snr,max_phase_gap,fap,baseline_hr,n_cycles_observed,aov_F,amp_snr,loo_worst_chi2,n_phase_coverings,reliability_score,is_reliable,double_peaked,diameter_km_real,albedo_real,spec_type,published_rot_per_hr,min_snr,median_n_stack,frac_points_stacked,phase_angle_range_deg,wrote_clean_lc,period_quality,cell,has,believed
(313087) 2000 UD12,34,34,0,7,2,17.46,4.792597722582359,2.3962988612911795,0.0902889418099324,0.3505607549016754,1.0,6.676370847599247,1.3679871518300812,5.836049528413294,0.1268312136496174,0.2501271473455518,1706.662213483185,356.10379010980233,3.1289905407980068,4.1209168737453,6.171238245677822,0.0,0.0053992157935349,False,True,,,,,5.0,44.0,1.0,21.053764007930656,False,0.04,n30_a3.0,False,False
(340355) 2006 DM91,31,31,0,6,2,17.47,3.364599693806415,1.6822998469032076,0.068852830243234,0.509291263308565,1.0,10.263503242495972,1.800174022985032,9.100959224283136,0.1174651334047363,0.0101278131455138,1675.5017804206582,497.97953186078473,7.61688637304792,3.745742713725636,1.3056293275096136,0.0,0.0160150936795639,False,True,2.154,0.035,,6.76,5.0,36.0,1.0,21.084853638988807,False,0.05,n30_a6.0,False,False
(315923) 2008 SM39,33,33,0,4,1,13.39,1.5056345810326648,1.5056345810326648,0.0301998565401798,0.4004982051836641,1.0,8.994233296992938,1.565911235636327,8.005056132106766,0.1718736891414117,0.1242543586638272,533.4078411783557,354.27443544270153,6.770195214673028,4.103569674450871,0.9592535963559424,0.0,0.0017311187230374,False,False,,,,,5.0,31.0,1.0,4.080442041255354,False,0.0,n30_a6.0,False,False
(566863) 2018 VB44,33,33,0,5,1,16.14,4.580168897518803,2.2900844487594014,0.0908950709983691,0.311569411853326,1.0,8.135491480806634,1.3982778240933962,7.084492390297186,0.1066659934807731,0.5799945178971013,575.338776503806,125.61518786250043,8.45772081492624,5.764849623574036,4.677831269215251,0.0,0.0039962631118417,False,True,,,,,5.0,54.0,1.0,3.6027255046338076,False,0.0,n30_a6.0,False,False
(713292) 2015 BQ132,48,57,9,10,4,18.36,23.37210920934408,11.68605460467204,0.6160673107227578,0.4996316264689567,1.0,2.3004746795512045,1.138327468572089,4.699273284152612,0.2389819640390012,4.449808955582347e-06,2504.155347539694,107.14289091797252,8.258787588155755,7.954679125126126,594.4387035877887,0.0,0.002887801458055,False,True,,,,,5.0,28.0,1.0,24.23372862783421,False,0.0,n30_a6.0,True,False
(84900) 2003 SH306,49,50,1,2,1,14.68,1.1700764897311062,1.1700764897311062,0.1118703714806784,0.1773830442347817,1.0,9.268879382843096,1.4595601395903233,7.920632890617777,0.1653503230277612,0.9487120451881316,233.65518502617488,199.6922313000844,12.276774353959228,4.604925701824968,,0.0,0.0413064558280091,False,False,7.108,0.061,,,5.0,14.0,1.0,0.6534807339625246,False,0.0909090909090909,n30_a6.0,False,False
(579692) 2014 WK92,31,31,0,5,1,18.22,9.608160117985404,4.804080058992701,0.1117714846841993,0.4364298071305344,1.0,8.916819123568786,1.4127235760666812,7.582690057986983,0.0885308309541116,0.0934098380095461,514.6401581199607,53.56282074823168,6.265370279217532,2.0533177384168875,0.4772665701788502,0.0,0.0044541242927678,False,True,,,,,5.0,31.0,1.0,8.731158102395135,False,0.0,n30_a6.0,False,False
(471878) 2013 AF91,32,33,1,10,3,17.26,1.138108054621406,1.138108054621406,0.105576747981078,0.3121976617874113,1.0,10.579649679156653,1.8883084766253615,9.492259828132944,0.1800564538787704,0.5301894765502082,1540.7487824851996,1353.7807559034743,7.18799129845235,9.64326420339906,0.5998388235372399,0.0,0.0178065923842009,False,False,,,,,5.0,61.0,1.0,10.400744007247331,False,0.05,n30_a6.0,False,False
(739337) 2017 OT66,31,31,0,4,1,16.51,3.180655626167479,1.5903278130837395,0.0383502490720904,0.3738636992091785,1.0,7.828196866070254,1.3988265692208568,6.931389498839617,0.2119559696632531,0.2982379669152231,341.90993849246297,107.4966858026206,11.252154625722476,7.737618465599651,4250.231450593146,0.0,0.00084128386242,False,True,,,,,5.0,19.0,1.0,2.5576186303987933,False,0.0,n30_a6.0,False,False
(79450) 1997 WP6,56,56,0,9,3,15.24,2.8016258849106777,1.4008129424553388,0.1527586050725382,0.3518384369436514,1.0,15.708655187498698,2.402452819936817,13.25400477834035,0.1109827559465297,0.007046478040969,1821.0155528321047,649.9852684257173,6.817233786111138,5.807532884597997,4.101188552835271,0.0,0.0545184309533435,False,True,,,,,5.0,17.0,1.0,11.572759421846818,False,0.0909090909090909,n30_a6.0,True,False
(738939) 2017 DL59,34,34,0,9,3,15.89,43.20244705549518,43.20244705549518,0.0247418873532253,0.4737950801635999,1.0,11.000339033598625,1.8378271124206096,9.794243540720249,0.1134909819150912,0.0156448534334021,1839.4060840841264,42.576432805330214,6.477610388668928,2.09108345031667,0.9964353474885448,0.0,0.0160174223432516,False,False,,,,,5.0,57.0,1.0,15.309319352948322,False,0.05,n30_a6.0,False,False
(204078) 2003 WX16,44,44,0,2,1,16.24,2.472917405577485,1.2364587027887426,0.1024169254175337,0.2785933736120706,1.0,9.308789394653418,1.616585533251359,8.181623593367053,0.0752606722771674,0.4209846610292847,510.2994387106737,206.3552294790479,6.760431408316018,2.848407325302182,,0.0,0.0084744687747226,False,True,,,,,5.0,13.0,1.0,2.82268360047035,False,0.0499082253793014,n30_a6.0,False,False
(382587) 2002 CL229,33,34,1,8,3,17.38,5.260361603887516,2.630180801943758,0.0409850728746386,0.3163122967589696,1.0,12.622208921145246,2.0319813570184153,11.285521024551096,0.0877572695894792,0.4832663573995059,1778.1573715051054,338.0294940543651,9.10499225259946,6.085130708861471,1.7844885232770036,0.0,0.0407931425133397,False,True,,,,,5.0,54.0,1.0,13.449445038675377,False,0.0909090909090909,n30_a6.0,False,False
(735997) 2015 PG4,31,33,2,4,2,16.38,1.29685850580592,1.29685850580592,0.0507604366960405,0.2722825575458824,1.0,9.814600426078613,1.65781952102394,8.716572182343358,0.150270836178471,0.830524759967848,689.0262866807752,531.3041350278892,12.260999605815346,3.932228357062339,4.222128817177174,0.0,0.0039744227384653,False,False,,,,,5.0,29.0,1.0,9.592577897786963,False,0.0,n30_a6.0,False,False
(385118) 2012 XW52,30,30,0,6,2,16.34,2.415740501150041,1.2078702505750205,0.0497367078404435,0.5856976397297692,1.0,11.81052446874934,2.178437269163912,10.627675431429283,0.0885166553064237,0.0021744448331246,851.2915166253224,352.393610249137,8.342474059701846,3.77757297299408,1.8736770527035176,0.0,0.0603086705291113,False,True,,,,,5.0,50.0,0.9666666666666668,13.763846247868344,False,0.0909090909090909,n30_a6.0,True,False
(477682) 2010 RL16,54,54,0,5,1,15.93,1.551501512030591,1.551501512030591,0.082246273830564,0.2608912961617278,1.0,10.024716142811402,1.6244317193278508,9.003170516995029,0.1486452670377394,0.1775432234292721,548.7385085251881,353.6822260695087,6.405148612962231,4.265277016610036,6.783992596411458,0.0,0.0117169672274738,False,False,,,,,5.0,13.0,1.0,4.381266418590851,False,0.05,n30_a6.0,False,False
